Browser Size,Device Category,Users
1810x1090,desktop,1
1810x890,desktop,1
1810x940,desktop,1
1810x960,desktop,1
1810x970,desktop,1
1820x1080,desktop,1
1820x570,desktop,1
1820x750,desktop,1
1820x840,desktop,1
1820x920,desktop,1
1820x930,desktop,1
1820x990,desktop,1
1830x870,desktop,1
1830x940,desktop,1
1830x950,desktop,1
1840x1040,desktop,1
1840x1360,desktop,1
1840x960,desktop,1
1850x1040,desktop,1
1850x1130,desktop,1
1850x890,desktop,1
1850x910,desktop,1
1850x920,desktop,1
1860x1010,desktop,1
1860x730,desktop,1
1860x760,desktop,1
1860x920,desktop,1
1860x930,desktop,1
1860x950,desktop,1
1860x980,desktop,1
1870x1280,desktop,1
1870x1340,desktop,1
1870x610,desktop,1
1880x1110,desktop,1
1880x580,desktop,1
1880x630,desktop,1
1880x710,desktop,1
1880x980,desktop,1
1890x1120,tablet,1
1890x920,desktop,1
1890x930,desktop,1
1900x1040,desktop,1
1900x1050,desktop,1
1900x1070,desktop,1
1900x1250,desktop,1
1900x720,desktop,1
1900x860,desktop,1
1900x900,desktop,1
1900x910,desktop,1
1900x970,desktop,1
1910x1010,desktop,1
1910x1060,desktop,1
1910x1090,desktop,1
1910x460,desktop,1
1910x840,desktop,1
1910x870,desktop,1
1910x880,desktop,1
1910x910,desktop,1
1910x920,desktop,1
1910x950,desktop,1
1910x980,desktop,1
1910x990,desktop,1
1920x1040,desktop,1
1920x1060,desktop,1
1920x610,desktop,1
1920x750,desktop,1
1920x760,desktop,1
1920x850,desktop,1
1920x860,desktop,1
1920x870,desktop,1
1920x880,desktop,1
1920x890,tablet,1
1920x910,desktop,1
1920x990,tablet,1
1930x1070,desktop,1
1930x1090,desktop,1
1930x950,desktop,1
1940x940,desktop,1
1950x1190,desktop,1
1960x1110,desktop,1
1960x1130,desktop,1
1960x740,desktop,1
1980x1190,desktop,1
1990x1190,desktop,1
2000x1000,desktop,1
2000x1130,desktop,1
2000x1300,desktop,1
2010x1070,desktop,1
2020x1010,desktop,1
2020x800,desktop,1
2050x1020,desktop,1
2050x1120,desktop,1
2050x1430,desktop,1
2050x920,desktop,1
2070x770,desktop,1
2090x630,desktop,1
2100x1130,desktop,1
2100x1190,desktop,1
2100x1260,desktop,1
2130x1000,desktop,1
2130x1040,desktop,1
2130x1050,desktop,1
2130x990,desktop,1
2140x1050,desktop,1
2160x1080,desktop,1
2160x1160,desktop,1
2160x1260,desktop,1
2170x1160,desktop,1
2170x1200,desktop,1
2170x1250,desktop,1
2200x1150,desktop,1
2200x1240,desktop,1
2210x1190,desktop,1
2210x1270,desktop,1
2220x1250,desktop,1
2230x1160,desktop,1
2260x1070,desktop,1
2280x1120,desktop,1
2280x880,desktop,1
2290x1290,desktop,1
2310x1360,desktop,1
2320x1190,desktop,1
2400x1120,desktop,1
2400x1140,desktop,1
2400x1270,desktop,1
2400x1310,desktop,1
2400x1340,desktop,1
2400x1370,desktop,1
2450x1120,desktop,1
2480x1130,desktop,1
2480x1170,desktop,1
2480x1190,desktop,1
2480x1230,desktop,1
2530x1320,desktop,1
2530x910,desktop,1
2540x1280,desktop,1
2540x1290,desktop,1
2540x910,desktop,1
2540x950,desktop,1
2540x970,desktop,1
2550x1360,desktop,1
2550x950,desktop,1
2560x1230,desktop,1
2560x1330,desktop,1
2560x1370,desktop,1
2560x910,desktop,1
2580x1290,desktop,1
2600x1250,desktop,1
2600x1290,desktop,1
2610x1110,desktop,1
2610x1130,desktop,1
2610x1170,desktop,1
2610x1190,desktop,1
2610x1250,desktop,1
2610x1440,desktop,1
2610x1480,desktop,1
280x10,desktop,1
320x430,mobile,1
320x440,mobile,1
360x590,mobile,1
360x620,mobile,1
360x670,mobile,1
360x740,mobile,1
380x560,mobile,1
380x620,mobile,1
380x680,mobile,1
400x680,desktop,1
400x710,mobile,1
400x850,desktop,1
400x900,desktop,1
400x930,desktop,1
400x990,desktop,1
410x540,mobile,1
410x590,mobile,1
410x650,mobile,1
410x690,mobile,1
410x710,mobile,1
410x740,mobile,1
500x540,desktop,1
540x1160,desktop,1
570x290,desktop,1
570x320,mobile,1
590x870,desktop,1
600x890,tablet,1
600x960,tablet,1
610x610,desktop,1
640x280,mobile,1
650x310,desktop,1
660x920,desktop,1
700x700,tablet,1
710x830,desktop,1
720x690,desktop,1
720x800,desktop,1
740x1280,desktop,1
760x680,desktop,1
770x500,desktop,1
790x490,desktop,1
800x1160,tablet,1
800x1260,tablet,1
820x1060,desktop,1
820x490,desktop,1
820x740,desktop,1
830x1010,tablet,1
830x1110,tablet,1
830x990,tablet,1
850x610,desktop,1
870x510,desktop,1
880x850,desktop,1
890x660,desktop,1
890x680,desktop,1
900x1020,desktop,1
930x1030,desktop,1
930x740,desktop,1
940x490,desktop,1
940x680,desktop,1
940x920,desktop,1
950x490,desktop,1
950x980,desktop,1
960x1020,desktop,1
960x680,desktop,1
960x870,desktop,1
960x890,desktop,1
960x940,desktop,1
960x950,desktop,1
970x460,desktop,1
980x710,desktop,1
980x770,desktop,1
980x830,desktop,1
980x880,desktop,1
990x570,desktop,1
990x620,desktop,1
990x850,desktop,1
